index,disease,symptoms,tests,medications
0,Panic disorder,"['Anxiety and nervousness', 'Depression', 'Shortness of breath', 'Depressive or psychotic symptoms', 'Sharp chest pain', 'Dizziness', 'Insomnia', 'Abnormal involuntary movements', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Breathing fast']","['Psychotherapy', 'Mental health counseling', 'Electrocardiogram', 'Depression screen (Depression screening)', 'Toxicology screen', 'Psychological and psychiatric evaluation and therapy']","['Lorazepam', 'Alprazolam (Xanax)', 'Clonazepam', 'Paroxetine (Paxil)', 'Venlafaxine (Effexor)', 'Mirtazapine', 'Buspirone (Buspar)', 'Fluvoxamine (Luvox)', 'Imipramine', 'Desvenlafaxine (Pristiq)', 'Clomipramine', 'Acamprosate (Campral)']"
1,Vocal cord polyp,"['Hoarse voice', 'Sore throat', 'Difficulty speaking', 'Cough', 'Nasal congestion', 'Throat swelling', 'Diminished hearing', 'Lump in throat', 'Throat feels tight', 'Difficulty in swallowing', 'Skin swelling', 'Retention of urine']","['Tracheoscopy and laryngoscopy with biopsy', 'Occupational therapy assessment (Speech therapy)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Diagnostic procedures on nose; mouth and pharynx', 'Other physical therapy and rehabilitation', 'Ophthalmologic and otologic diagnosis and treatment']","['Esomeprazole (Nexium)', 'Beclomethasone Nasal Product', 'Nicotine', 'Azelastine Nasal', 'Phenylephrine (Duramax)', 'Rabeprazole (Aciphex)', 'Vinorelbine (Navelbine)', 'Vitamin A', 'Adalimumab (Humira)', 'Rituximab']"
2,Turner syndrome,"['Groin mass', 'Leg pain', 'Hip pain', 'Suprapubic pain', 'Blood in stool', 'Lack of growth', 'Diminished hearing', 'Depression', 'Emotional symptoms', 'Elbow weakness', 'Back weakness', 'Pus in sputum']","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Echocardiography', 'Depression screen (Depression screening)', 'Examination of breast', 'Ophthalmologic and otologic diagnosis and treatment']","['Somatropin', 'Sulfamethoxazole (Bactrim)', 'Pimecrolimus Topical', 'Hyoscyamine (A-Spas)', 'Ortho Cyclen', 'Carbamazepine', 'Ascorbic Acid', 'Nystatin Topical Product', 'Phenazopyridine (Azo)', 'Nifedipine']"
3,Cryptorchidism,"['Symptoms of the scrotum and testes', 'Swelling of scrotum', 'Pain in testicles', 'Flatulence', 'Pus draining from ear', 'Jaundice', 'Mass in scrotum', 'Lack of growth', 'White discharge from eye', 'Irritable infant']","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Pelvis exam', 'Rectal examination', 'Other OR therapeutic procedures; male genital', 'Other OR therapeutic nervous system procedures', 'Occupational therapy assessment (Speech therapy)']","['Haemophilus B Conjugate Vaccine (Obsolete)', 'Hepatitis B Vaccine (Obsolete)', 'Rotavirus Vaccines (Rotavirus Vaccine)', 'Desoximetasone Topical']"
4,Poisoning due to ethylene glycol,"['Abusing alcohol', 'Fainting', 'Hostile behavior', 'Drug abuse', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Vomiting', 'Headache', 'Depression', 'Nausea', 'Diarrhea']","['Intravenous fluid replacement', 'Hematologic tests (Blood test)', 'Toxicology screen', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Blood alcohol']","['Lorazepam', 'Thiamine', 'Naloxone (Suboxone)', 'Charcoal', 'Folic Acid', 'Famotidine', 'Haloperidol', 'Acetylcysteine', 'Trimethobenzamide (Tigan)', 'Magnesium Sulfate', 'Olanzapine (Zyprexa)']"
5,Atrophic vaginitis,"['Vaginal itching', 'Vaginal dryness', 'Painful urination', 'Involuntary urination', 'Pain during intercourse', 'Frequent urination', 'Lower abdominal pain', 'Suprapubic pain', 'Vaginal discharge', 'Blood in urine', 'Hot flashes', 'Intermenstrual bleeding']","['Pelvis exam', 'Examination of breast', 'Urinalysis', 'Mammography (Mammogram)', 'Rectal examination', 'Complete physical skin exam performed (ML)', 'Pap smear']","['Estrogens, Conjugated (Usp) (Premarin)', 'Estradiol', 'Nitrofurantoin', 'Raloxifene (Evista)', 'Oxybutynin', 'Tolterodine (Detrol)', 'Progesterone', 'Solifenacin (Vesicare)', 'Risedronate (Actonel)', 'Calcium Citrate', 'Betamethasone-Clotrimazole Topical']"
6,Fracture of the hand,"['Hand or finger pain', 'Wrist pain', 'Hand or finger swelling', 'Arm pain', 'Wrist swelling', 'Arm stiffness or tightness', 'Arm swelling', 'Hand or finger stiffness or tightness', 'Wrist stiffness or tightness']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Orthopedic casting', 'Traction; splints; and other wound care', 'Physical therapy exercises (Exercises)', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Carteolol', 'Disopyramide']"
7,Cellulitis or abscess of mouth,"['Lip swelling', 'Sore throat', 'Toothache', 'Abnormal appearing skin', 'Skin lesion', 'Difficulty in swallowing', 'Acne or pimples', 'Dry lips', 'Facial pain', 'Mouth ulcer', 'Throat swelling', 'Skin growth']","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Incision and drainage (I d)', 'Biopsy', 'Wound care management', 'Culture wound', 'Other OR therapeutic procedures on nose; mouth and pharynx']","['Clindamycin', 'Dexamethasone Topical Product', 'Penicillin', 'Rivastigmine (Exelon)', 'Chlorhexidine Topical', 'Petrolatum Topical', 'Docosanol Topical', 'Sertaconazole Topical', 'Oxaprozin', 'Hydrocortisone-Iodoquinol Topical', 'Retapamulin Topical']"
8,Eye alignment disorder,"['Eye deviation', 'Diminished vision', 'Double vision', 'Cross-eyed', 'Symptoms of eye', 'Pain in eye', 'Eye moves abnormally', 'Abnormal movement of eyelid', 'Foreign body sensation in eye', 'Lack of growth', 'Irregular appearing scalp', 'Swollen lymph nodes']","['Ophthalmologic and otologic diagnosis and treatment', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Other therapeutic procedures', 'Ophthalmic examination and evaluation (Eye exam)', 'Other extraocular muscle and orbit therapeutic procedures', 'Occupational therapy assessment (Speech therapy)']","['Atropine (Uaa)', 'Phenylephrine (Duramax)', 'Cyclopentolate Ophthalmic', 'Tropicamide Ophthalmic', 'Dexamethasone-Tobramycin Ophthalmic', 'Methazolamide (Mzm)', 'Fluorescein', 'Orlistat (Alli)', 'Colloidal Oatmeal Topical', 'Benzylpenicilloyl Polylysine (Pre-Pen)']"
9,Headache after lumbar puncture,"['Headache', 'Nausea', 'Back pain', 'Vomiting', 'Dizziness', 'Neck pain', 'Low back pain', 'Pain of the anus', 'Pain during pregnancy', 'Painful urination', 'Pelvic pain', 'Impotence']","['Intravenous fluid replacement', 'Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)', 'Liver function tests (Liver test)']","['Hydromorphone (Dilaudid)', 'Caffeine', 'Prochlorperazine (Compro)', 'Midazolam (Versed)', 'Caffeine-Sodium Benzoate', 'Zidovudine', 'Zolmitriptan (Zomig)', 'Dexamethasone-Tobramycin Ophthalmic']"
10,Pyloric stenosis,"['Vomiting', 'Sharp abdominal pain', 'Infant spitting up', 'Vomiting blood', 'Cough', 'Arm stiffness or tightness', 'Regurgitation', 'Burning abdominal pain', 'Restlessness', 'Pain during pregnancy', 'Symptoms of infants', 'Wheezing']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)']","['Nizatidine (Axid)', 'Simethicone (Degas)', 'Lactulose', 'Silver Sulfadiazine Topical', 'Niacin', 'Nystatin Topical Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
11,Salivary gland disorder,"['Sore throat', 'Peripheral edema', 'Neck mass', 'Ear pain', 'Swollen lymph nodes', 'Throat feels tight', 'Facial pain', 'Skin swelling', 'Jaw swelling', 'Cough', 'Mouth dryness', 'Neck swelling']","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Biopsy', 'Excision (Removal)', 'Diagnostic procedures on nose; mouth and pharynx', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Physical therapy exercises (Exercises)']","['Meloxicam', 'Pramipexole (Mirapex)', 'Dicyclomine', 'Saliva Substitutes', 'Mequinol-Tretinoin Topical', 'Bleomycin', 'Desflurane', 'Entacapone (Comtan)', 'Biotin', 'Rocuronium', 'Cefadroxil']"
12,Osteochondrosis,"['Knee pain', 'Foot or toe pain', 'Bowlegged or knock-kneed', 'Ankle pain', 'Bones are painful', 'Knee weakness', 'Hand or finger pain', 'Elbow pain', 'Knee swelling', 'Skin moles', 'Knee lump or mass', 'Weight gain']","['Plain x-ray (X ray)', 'Radiographic imaging procedure', 'Physical therapy exercises (Exercises)', 'Examination of foot', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Application of splint (Splinting)', 'Physical therapy exercises; manipulation; and other procedures']","['Acebutolol', 'Botulinum Toxin Type A (Botox)']"
13,Injury to the knee,"['Knee pain', 'Knee swelling', 'Leg pain', 'Problems with movement', 'Knee stiffness or tightness', 'Leg swelling', 'Knee weakness', 'Foot or toe swelling', 'Heartburn', 'Smoking problems']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Magnetic resonance imaging (Mri)', 'Application of splint (Splinting)', 'Physical therapy exercises (Exercises)', 'Other therapeutic procedures', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Chondroitin-Glucosamine', 'Cortisone', 'Piroxicam', 'Nabumetone', 'Pentazocine (Talwin)', 'Alendronate-Cholecalciferol', 'Moexipril', 'Desflurane']"
14,Metabolic disorder,"['Weight gain', 'Jaundice', 'Mouth dryness', 'Muscle pain', 'Smoking problems', 'Infant feeding problem', 'Recent weight loss', 'Problems with shape or size of breast', 'Arm stiffness or tightness', 'Underweight', 'Difficulty eating', 'Scanty menstrual flow']","['Hematologic tests (Blood test)', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Mammography (Mammogram)']","['Ursodiol (Urso)', 'Exenatide (Byetta)', 'Alglucosidase Alfa (Myozyme)', 'Levocarnitine', 'Fenofibric Acid (Trilipix)', 'Raltegravir (Isentress)', 'Potassium Citrate']"
15,Vaginitis,"['Vaginal discharge', 'Vaginal itching', 'Sharp abdominal pain', 'Painful urination', 'Vaginal pain', 'Lower abdominal pain', 'Pelvic pain', 'Vaginal redness', 'Suprapubic pain', 'Pain during pregnancy', 'Vulvar irritation', 'Pain during intercourse']","['Pelvis exam', 'Urinalysis', 'Standard pregnancy test', 'Chlamydia test', 'Examination of breast', 'Microscopic examination (bacterial smear; culture; toxicology)', 'Pap smear']","['Metronidazole', 'Fluconazole (Diflucan)', 'Metronidazole Topical Product', 'Terconazole Topical', 'Miconazole Topical Product', 'Betamethasone-Clotrimazole Topical', 'Clindamycin Topical Product', 'Tinidazole', 'Nystatin-Triamcinolone Topical', 'Cefixime (Suprax)', 'Pentosan Polysulphate Sodium (Elmiron)', 'Boric Acid Topical']"
16,Sick sinus syndrome,"['Dizziness', 'Sharp chest pain', 'Shortness of breath', 'Palpitations', 'Fainting', 'Weakness', 'Irregular heartbeat', 'Decreased heart rate', 'Increased heart rate', 'Bleeding or discharge from nipple']","['Electrocardiogram', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ultrasonography (Ultrasound)', 'Echocardiography', 'Lipid panel', 'Diagnostic cardiac catheterization; coronary arteriography', 'Depression screen (Depression screening)']","['Warfarin', 'Digoxin', 'Sotalol', 'Amiodarone', 'Torsemide', 'Vitamin E (Vita-E)', 'Bumetanide', 'Flecainide', 'Ibandronate (Boniva)', 'Dofetilide (Tikosyn)', 'Dopamine', 'Isosorbide Mononitrate (Ismo)']"
17,Tinnitus of unknown cause,"['Ringing in ear', 'Diminished hearing', 'Dizziness', 'Ear pain', 'Headache', 'Plugged feeling in ear', 'Itchy ear(s)', 'Frontal headache', 'Symptoms of eye', 'Hoarse voice', 'Fluid in ear', 'Neck stiffness or tightness']","['Ophthalmologic and otologic diagnosis and treatment', 'Magnetic resonance imaging (Mri)', 'Other therapeutic ear procedures', 'Other physical therapy and rehabilitation', 'Diagnostic procedures on ear', 'Diagnostic procedures on nose; mouth and pharynx', 'Other OR therapeutic nervous system procedures']","['Azelastine Nasal', 'Salmeterol', 'Levocetirizine (Xyzal)', 'Ginkgo Biloba Extract (Ginkgo)', 'Iodoquinol', 'Benzalkonium Chloride Topical', 'Aluminum Sulfate-Calcium Acetate Topical', 'Magnesium Chloride', 'Dexamethasone Ophthalmic', 'Ciclesonide Nasal', 'Almotriptan (Axert)']"
18,Glaucoma,"['Diminished vision', 'Pain in eye', 'Symptoms of eye', 'Spots or clouds in vision', 'Eye redness', 'Lacrimation', 'Itchiness of eye', 'Blindness', 'Eye burns or stings', 'Foreign body sensation in eye', 'Itchy eyelid', 'Feeling cold']","['Ophthalmic examination and evaluation (Eye exam)', 'Ophthalmologic and otologic diagnosis and treatment', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Lens and cataract procedures', 'Diagnostic procedures on eye', 'Glaucoma procedures', 'Other intraocular therapeutic procedures']","['Latanoprost', 'Bimatoprost Ophthalmic', 'Brimonidine Ophthalmic', 'Timolol', 'Travoprost (Travatan)', 'Prednisolone Ophthalmic', 'Brimonidine-Timolol Ophthalmic', 'Dorzolamide Ophthalmic', 'Brinzolamide Ophthalmic', 'Tropicamide Ophthalmic', 'Apraclonidine Ophthalmic', 'Acetazolamide (Diamox)']"
19,Eating disorder,"['Depression', 'Anxiety and nervousness', 'Depressive or psychotic symptoms', 'Decreased appetite', 'Abusing alcohol', 'Excessive appetite', 'Difficulty eating', 'Weight gain', 'Excessive anger', 'Insomnia', 'Vomiting blood', 'Acne or pimples']","['Psychotherapy', 'Mental health counseling', 'Depression screen (Depression screening)', 'Psychological and psychiatric evaluation and therapy', 'Occupational therapy assessment (Speech therapy)']","['Fluoxetine (Prozac)', 'Trazodone', 'Quetiapine (Seroquel)', 'Lamotrigine (Lamictal)', 'Topiramate (Topamax)', 'Venlafaxine (Effexor)', 'Aripiprazole (Abilify)', 'Minocycline', 'Benzoyl Peroxide Topical', 'Tranylcypromine (Parnate)', 'Phenelzine (Nardil)', 'Chlorpromazine (Thorazine)']"
20,Transient ischemic attack,"['Loss of sensation', 'Dizziness', 'Headache', 'Weakness', 'Focal weakness', 'Slurring words', 'Difficulty speaking', 'Symptoms of the face', 'Depressive or psychotic symptoms', 'Diminished vision', 'Disturbance of memory', 'Paresthesia']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Clopidogrel (Plavix)', 'Deferasirox (Exjade)', 'Bethanechol', 'Dipyridamole', 'Gadopentetate Dimeglumine (Magnevist)', 'Bivalirudin']"